File,Text,Acoustic_Annotation,Semantic_Analysis
Ses03M_script03_2_M002, Mmm Hmm.  I remember it well.  Bristling with diamonds in the worst possible taste.,ang,negative
Ses03M_script03_2_M003, You went out of your way to torture me over Peter Burden.,ang,negative
Ses03M_script03_2_F008," Look, I'm bored with this conversation.",ang,negative
Ses03M_script03_2_M008," Yeah, so am I.  Bored stiff.",ang,negative
Ses03M_script03_2_M011, No particular reason.  Anyhow they were very small ones.,ang,negative
Ses03M_script03_2_F025, They sting.,ang,negative
Ses03M_script03_2_F029, You're quite insufferable.  I expect it's because you're drunk.,ang,negative
Ses03M_script03_2_M030," Okay, like I mentioned before I had three very small, minute liquor glasses of brandy.  That's not even enough to get a child of two drunk.",ang,negative
Ses03M_script03_2_F038, Very well.  If you insist on being a boorish and idiotic.,ang,negative
Ses03M_script03_2_M039," Come on, turn it off.  It's driving me mad.",ang,negative
Ses03M_script03_2_F039, You are far too temperamental.  Try to control yourself.,ang,negative
Ses03M_script03_2_F040, Go away.  Go away.  I hate you.,ang,negative
Ses03M_script03_2_F041," I hate you.  Listen I'm sick and tired of listening to you, you sadistic bully.",ang,negative
Ses03M_script03_2_M042," You know what?  You're a vile, little, evil-minded, little, wicked beast and I never want to see you again.",ang,negative
Ses03M_script03_2_M044, Just shut up.,ang,negative
Ses03M_script03_2_M045, shut up. shut up.  I would-I would never marry you again if you came crawling back to me on your hands and knees because you're an evil-minded little vampire and I hope to God I never see you again.,ang,negative
Ses03M_script03_2_F044," Listen, you're a cruel fiend and I hate, loathe you.  Thank God finally, finally thank God I've realized just how horrible you are--and marry you?  Marry you?  Never. I will never marry you.  I will die die in torment-",ang,negative
Ses04M_script02_1_F008, There is no point in coming down here.,ang,negative
Ses04M_script02_1_F012, I just don't.  It's stupid.,ang,negative
Ses04M_script02_1_F013," Pass up what?  These little fish swim onto the beach, flop around and then they swim away.  And then they die.",ang,negative
Ses04M_script02_1_F018," Last year, you will also remember, our shoes got wet.  I got sand in my panties.  We got into a big fight over nothing.  You got a sore throat and we did not see the grunions.",ang,negative
Ses05M_script01_2_M015," What's that suppose to mean, me above all?  Look at you, you're shaking.",ang,negative
Ses01M_impro01_F020, Don't talk to me like I'm a child.,ang,negative
Ses01M_impro01_M031," Why, because I'm sick of talking to you.",ang,negative
Ses01M_impro01_M032," 'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",ang,negative
Ses04F_script02_2_F005, Goddamn it Augie don't ask me that.  You always ask me that.  I hate it when you ask me that.  It's insulting.,ang,negative
Ses04F_script02_2_F009," For heaven's sake, grow up we are not going to see the Grunions.",ang,negative
Ses04F_script02_2_F014, and the fish won't show up.,ang,negative
Ses05F_script03_2_M016," Oh, that reply has broken my heart.",ang,negative
Ses05F_script03_2_F017," Oh, Do shut up.",ang,negative
Ses05F_script03_2_M019, It's a pity you didn't take a little more brandy.  It might have made you a little less disagreeable.,ang,negative
Ses05F_script03_2_F019," adder don't snap, they sting.",ang,negative
Ses05F_script03_2_F020, They sting.,ang,negative
Ses05F_script03_2_M026," You must have a riotous time, no restraint at all, very enjoyable.  I mean, you never had much anyway.",ang,negative
Ses05F_script03_2_F024," Oh dear, you really are becoming quite insufferable.  I would imagine it's because you're drunk.",ang,negative
Ses05F_script03_2_F033," Fine, if you insist on being completely insolent.",ang,negative
Ses05F_script03_2_M037, Turn it off.  It is driving me mad.,ang,negative
Ses05F_script03_2_M038, Turn it off.,ang,negative
Ses05F_script03_2_M039, Turn it off.,ang,negative
Ses05F_script03_2_F036, I- I hate you.,ang,negative
Ses05F_script03_2_F037, I hate you.,ang,negative
Ses05F_script03_2_F038," No, no.  I'm tired of listening to you.  You're boorish and idiotic and completely overbearing.",ang,negative
Ses05F_script03_2_F039," Yeah, very amusing.  Let me go.  I'm getting out of here.  I can't believe I intended to marry you.",ang,negative
Ses05F_script03_2_M042," You are a vile tempered, loose living, wicked little beast, and I never want to set eyes on you again.",ang,negative
Ses05F_script03_2_F040," Oh, marry you again?  I must have been insane.  What was I thinking?  I mean, you're completely outrageous.",ang,negative
Ses05F_script03_2_M043," Shut up, shut up.  I wouldn't marry you again if you came crawling to me on bended knee. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",ang,negative
Ses03M_script02_2_F001, It's ridiculous.,ang,negative
Ses03M_script02_2_F011," Augie, god dammit, don't ask me that.  You always ask me that.  I hate it when you ask me that.  It's insulting.",ang,negative
Ses03M_script02_2_F013," Listen, I've waiting my entire life on this beach just standing there waiting for this fish to show up and these fish never show up.",ang,negative
Ses03M_script02_2_M027, Do you want to get married again? What? What?  Do you want a divorce? A vacation? What?  A carpet?  A poodle?  A basket of fruit?  What?  A suicide pact?  What the hell do you want Carla?,ang,negative
Ses05F_impro05_F018, Uh- Not lose the baggage in the first place. I mean You're offering a service here. I paid so much money for that ticket.,ang,negative
Ses05F_impro05_F020," Well, I just-I paid so much money for this ticket.  I feel like you guys should be able to get-to offer me more than a fifty dollar voucher.",ang,negative
Ses05F_impro05_F021," Yeah, meaning I didn't die in a fiery plane crash.  How convenient, but um- I paid two thousand dollar to ride your airline, and I would really appreciate getting my bags there to my destination in one place.",ang,negative
Ses03F_script02_2_F005," Augie, Goddamn it, don't ask me that. You always ask me that. Why do you ask me that? I hate it. It's insulting.",ang,negative
Ses03F_script02_2_F012, Like I feel like my whole life I've been just standing on this beach with my hands clasped waiting for these fish to show up and these fish never show up.,ang,negative
Ses03F_script02_2_M026," A-a back rub, some ice cream, a suicide pact. What the hell do you want, Carla?",ang,negative
Ses01F_script02_2_F003, It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,ang,negative
Ses01F_script02_2_F006," Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",ang,negative
Ses01F_script02_2_F008," For God- Grow up, Augie.  The fish are not going to arrive.",ang,negative
Ses02F_impro05_F012," I didn't agree.  [GARBAGE] I paid the airline to take care of things for me.  When you pay for something, there should be some sort of guarantee that it's gonna come through.",ang,negative
Ses04M_impro02_F031, I can't do it.,ang,negative
Ses01M_script01_1_F016, The trouble is those god damn news papers.  Every month some boy comes back missing longer then Larry so--,ang,negative
Ses01M_script01_1_M034, Business?  The business doesn't inspire me.,ang,negative
Ses02F_script01_2_F012," Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",ang,negative
Ses02F_script01_2_M017, Look at you.  Look at you shaking.,ang,negative
Ses05F_impro02_M014, I don't understand why they would just do something like this?,ang,negative
Ses05M_script03_2_M009," Me, too, bored stiff.",ang,negative
Ses05M_script03_2_M020, It's a pity you didn't have a little bit more brandy.  It might have made you a little less disagreeable.,ang,negative
Ses05M_script03_2_M026," I'm sure you had a riotous time, no restrain at all, very enjoyable.  You never had much anyway.",ang,negative
Ses05M_script03_2_M037, Turn it off.  It's driving me mad.,ang,negative
Ses05M_script03_2_F035, You are far too temperamental.  Try to control yourself.,ang,negative
Ses05M_script03_2_M038, Turn it off!,ang,negative
Ses05M_script03_2_F036, Go away!  Go away!  I- I hate you.,ang,negative
Ses05M_script03_2_F037," You know what, I'm sick and tire of listening to you.  You're a-- You're a total sadistic bully.",ang,negative
Ses05M_script03_2_F038," Stop.  Would you just go away?  I mean, you're conceited, and overbearing, and utterly impossible.",ang,negative
Ses05M_script03_2_M041," You are a vile tempered, wicked living, evil little beast.  And I hope I never set eyes on you ever again.",ang,negative
Ses05M_script03_2_F041," You are a cruel fiend and I-I loath you.  I thank God I realized who you are before I decided to marry you again.  Oh my God, never!",ang,negative
Ses05M_script03_2_M045, You're a wicked little vampire.  And I pray to God I never set eyes on you again as long as I live.,ang,negative
Ses02F_script01_1_M013," For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",ang,negative
Ses02F_script01_1_M022," Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",ang,negative
Ses02F_script01_1_M036, I've been a good son too long.  A good sucker.  I'm through with it.,ang,negative
Ses02F_script01_1_M037, The business?  The business doesn't inspire me.,ang,negative
Ses01F_script01_1_F013," It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",ang,negative
Ses01F_script01_1_M019," You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",ang,negative
Ses04F_impro02_M020," You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not.",ang,negative
Ses03F_script01_2_M016," Look at you, you're shaking.",ang,negative
Ses04M_impro05_M010," I don't but the thing is, I don't care about your policy.",ang,negative
Ses04F_impro01_M023, You're testing my goddamn patience.,ang,negative
Ses04F_impro01_M024," I work in this fucking building all day. And I'm sick of it, okay?",ang,negative
Ses04F_impro01_F022," Please just put the form in, take the picture, let me get my license and get the hell out of here.  Please.",ang,negative
Ses05M_script01_1_M013, For Gods sake!  Three years!  Nobody comes back after three years.  That's insane!,ang,negative
Ses05M_script01_1_F014," The trouble is the God damn newspapers.  I mean every every week a kid turns up, missing like longer than Larry.",ang,negative
Ses05M_script01_1_M021, You infuriate me sometimes.  Do you know that?  God.,ang,negative
Ses05M_script01_1_M035, I have been a good son for too long.  A good sucker.  I'm through with it.,ang,negative
Ses05M_script01_1_F035," All right.  But don't think like that.  Because what the hell did we work for, Chris?  I mean, this whole thing, it's all for you.",ang,negative
Ses02M_script02_1_F018," Last year you'll also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight over nothing, and we didn't see the Grunions.",ang,negative
Ses02M_impro05_M016," Theft? Don't you know like all these people that are work - you keep like an eye on them, how can they get away with-",ang,negative
Ses02M_impro05_M026, I mean you're not helping me here. What do I have to do here? Do I need to sue the airline company is that what I should do,ang,negative
Ses04M_script03_2_M014, So am I; bored stiff.,ang,negative
Ses04M_script03_2_M027, It's a pity you didn't have any more brandy.  It might have made you a little less disagreeable.,ang,negative
Ses04M_script03_2_M029," Snap.  Oh, snap, snap, snap, like a little adder.",ang,negative
Ses04M_script03_2_M030," They -- nonsense, they have a little bag of venom behind their fangs and they snap.",ang,negative
Ses04M_script03_2_M034, You must have had a riotous time.,ang,negative
Ses04M_script03_2_F031, You're quite insufferable.  I expected it's because you're drunk.,ang,negative
Ses04M_script03_2_F034," Oh, shut up.",ang,negative
Ses04M_script03_2_M042, It's late and the people upstairs will get annoyed.,ang,negative
Ses04M_script03_2_F040," Very well, if you insist on being boorish and idiotic.",ang,negative
Ses04M_script03_2_M046, Turn it off.  It's driving me mad.,ang,negative
Ses04M_script03_2_F041, Go away.  Go away.  I hate you.,ang,negative
Ses04M_script03_2_M047, Turn it off.,ang,negative
Ses04M_script03_2_F042, You are far too temperamental.  Try to control yourself.,ang,negative
Ses04M_script03_2_F044," Listen, indeed.  I am sick and tired of listening to you, you damn sadistic bully.",ang,negative
Ses04M_script03_2_M049," You're a vile tempered, loosed living",ang,negative
Ses04M_script03_2_F045, Stop.,ang,negative
Ses04M_script03_2_M050, wicked little beast. And I- I hope I never see you again as long as live.,ang,negative
Ses04M_script03_2_F046, Stop.  I hate you.  Do you hear me? You're conceited and overbearing and utterly impossible.,ang,negative
Ses04M_script03_2_F049," Let go of me.  You're a cruel fiend and I hate and loath you.  Thank God, I discovered in time what you're really like.",ang,negative
Ses04M_script03_2_M054," You're a mean, evil minded",ang,negative
Ses04M_script03_2_F051," Never, never, never.  I'd rather die in torment. Beast brute.",ang,negative
Ses04M_script03_2_M056, Whore.,ang,negative
Ses04M_script01_1_M014," For God's sake, three years.  Nobody comes back after three years.  It's insane.",ang,negative
Ses04M_script01_1_M022," Sometimes you infuriate me, you know that?  Isn't it your business, too, if I tell this to father and he throws a fit about it?  You have such a talent for ignoring things.",ang,negative
Ses04M_script01_1_M037, The business?  The business doesn't inspire me.,ang,negative
Ses04M_script02_2_F006," Goddamn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",ang,negative
Ses05M_impro04_M020," Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",ang,negative
Ses04F_script02_1_F008, There is no point in coming down here.,ang,negative
Ses04F_script02_1_F012, I just don't.  It's stupid.,ang,negative
Ses04F_script02_1_F013," Pass up what?  These little fish swim onto the beach, flop around, and then swim away and then they die.",ang,negative
Ses04F_script02_1_F014, What are you so excited about?  This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.,ang,negative
Ses04F_script02_1_F022, It's ridiculous.,ang,negative
Ses02F_script03_2_F025, You're quite insufferable,ang,negative
Ses02F_script03_2_F035," Very well, if you insist on being boorish and idiotic.",ang,negative
Ses02F_script03_2_M037, Turn it off.  It's driving me mad.,ang,negative
Ses02F_script03_2_F036, You are far too temperamental.  Try to control yourself.,ang,negative
Ses02F_script03_2_M038, Turn it off.,ang,negative
Ses02F_script03_2_F037, Stop it.  Go away.  I hate you.,ang,negative
Ses02F_script03_2_F038," Listen?  Listen, indeed.  I am sick and tired of listening to you, damn sadistic bully.",ang,negative
Ses02F_script03_2_F039," I hate you.  Stop it.  Stop it.  I hate you, do you hear?  You're conceited and overbearing and utterly impossible.",ang,negative
Ses02F_script03_2_M041," You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.",ang,negative
Ses02F_script03_2_F042, I am.  Let go of me.  You're a cruel fiend and I hate and loathe you.,ang,negative
Ses02F_script03_2_F043, Thank God I realized what you are-- I'd never marry you again ever in my life. You're a cruel fiend and I hate you. You're a beast. You're a beast--I hate you. Stop it.  Stop it.,ang,negative
Ses02F_script03_2_M047, You're a evil vampire and I hope to God I never see you again as long as I live.,ang,negative
Ses04F_script03_2_M003, You went out of your way to torture me over Peter Burden.,ang,negative
Ses04F_script03_2_F020, Adders don't snap they sting.,ang,negative
Ses04F_script03_2_F021, They sting.,ang,negative
Ses04F_script03_2_F025, You're quite insufferable.  I expect it's because you're drunk.,ang,negative
Ses04F_script03_2_F028," Oh, shut up.",ang,negative
Ses04F_script03_2_F034, Very well if you insist on being boorish and idiotic.,ang,negative
Ses04F_script03_2_M037, Turn it off.  It's driving me mad.,ang,negative
Ses04F_script03_2_F036," Go away, go away.  I hate you.",ang,negative
Ses04F_script03_2_F037, Listen? Listen indeed.  I'm sick and tired of listening to you.  You damn sadistic bully.,ang,negative
Ses04F_script03_2_F038, Stop.,ang,negative
Ses04F_script03_2_F039," Stop, stop.  I hate you.  Do you hear?  You're conceited and overbearing and utterly impossible.",ang,negative
Ses04F_script03_2_M041," You're a vile tempered, loose living, wicked little beast. And I hope I never see you again as long as I live.",ang,negative
Ses04F_script03_2_F043," Oh, I hate you. It's a good thing that I found out in time what you're really like. Marry you again?  Never, never, never.",ang,negative
Ses04F_script03_2_M044, Shut up.  Shut up. I wouldn't marry you again if you came crawling to me on your bended knees.,ang,negative
Ses04F_script03_2_M045," You're a mean, evil minded, little tempered witch. I hope to God I never set eyes on you again as long as I live. Whore.",ang,negative
Ses04F_script03_2_F044, I'd rather die in torment. Beast.  Brute.  Calf swine.,ang,negative
Ses01F_script01_2_F007," Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",ang,negative
Ses01F_script01_2_F012," Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",ang,negative
Ses01F_script01_2_M016," Look at you, you're shaking.",ang,negative
Ses03M_impro01_F010," No, no, no. Sir,you need to get out of the line--",ang,negative
Ses03M_impro01_F013, No.  Now I'm going to take this from you because you are obviously misleading,ang,negative
Ses03M_impro01_M015, -- No.  I'm not waiting...I'm not coming back again.  I don't have time to come back five days.,ang,negative
Ses03M_impro01_M017, Yes I will.  I'll have this [GARBAGE],ang,negative
Ses03M_impro01_M023, No.  I'm not going anywhere.  I'm staying here-- I am filling out right now okay just calm down. I'm filling out right now-- Just take the god damn piece of paper.,ang,negative
Ses03M_impro01_F025," This entire time you're fighting with me sir, you could've finished the form and already been half way-- No.  Get out.",ang,negative
Ses01F_script03_2_M020," Oh really.  It's a pity you didn't have any brandy, it would have made you a little less disagreeable.",ang,negative
Ses01F_script03_2_M022, Nonsense.  They have a bag of venom behind their fangs and they snap. They snap.,ang,negative
Ses01F_script03_2_F021, They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops.,ang,negative
Ses01F_script03_2_F024," You're quite insufferable, I expect it's because you are drunk.",ang,negative
Ses01F_script03_2_M033," Will you turn that off, it's driving me mad.",ang,negative
Ses01F_script03_2_F035," You are far too temperamental, try to control yourself.",ang,negative
Ses01F_script03_2_M034, Turn it off.,ang,negative
Ses01F_script03_2_F036," I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully.",ang,negative
Ses01F_script03_2_F037," Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible.",ang,negative
Ses01F_script03_2_M037," You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",ang,negative
Ses01F_script03_2_F040," Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad.",ang,negative
Ses01F_script03_2_M040," Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",ang,negative
Ses01M_script03_2_F009, I'm bored with this conversation.,ang,negative
Ses01M_script03_2_M022," You know, it's a pity you didn't have any more brandy. It would have made you just a little less disagreeable.",ang,negative
Ses01M_script03_2_M024, Nonsense.  They have a bag of venom behind of fangs and they snap.,ang,negative
Ses01M_script03_2_F022, They sting.,ang,negative
Ses01M_script03_2_M027," I suppose you two had a riotous time, huh?  No restrain at all, very enjoyable, he never had much any how.",ang,negative
Ses01M_script03_2_F026," You're quite insufferable, I expect it's because you're drunk.",ang,negative
Ses01M_script03_2_F035, Very well if you insist on being boorish and idiotic.,ang,negative
Ses01M_script03_2_M036, Turn it off. It's driving me mad.,ang,negative
Ses01M_script03_2_M037, Turn it off.,ang,negative
Ses01M_script03_2_F037, Stop it. No. Go away.,ang,negative
Ses01M_script03_2_F038," listen Oh I'm sick and tired of listening to you, you damn sadistic bully.",ang,negative
Ses01M_script03_2_F039," Oh you're cruel you're...you're...I hate you, I hate you. Go away. You're conceited. You're overbearing. You're utterly impossible.",ang,negative
Ses01M_script03_2_M040," You...You're an evil minded, self-centered little wench and I never want to see you again.",ang,negative
Ses01M_script03_2_F041," Oh yes I am...Oh yes I am. Let go of me. You let go. You...urgh...You're a cruel friend. I loathe and I hate you. Marry you again...Ha...Never, never, never, never. I hope you die in torment. You beast.",ang,negative
Ses01M_script03_2_M043, Shut up. Shut up. I wouldn't marry you again if you came crawling back to me on a bended knee. You are an evil tempered little vampire and I never want to see you again as long as I live.,ang,negative
Ses05F_impro04_F008, I still can't live on in six seven and five.  It's not possible in Los Angeles.  Housing is too expensive.,ang,negative
Ses03F_script03_2_M000," As a matter of fact, the real cause of that row was Peter Burden.",ang,negative
Ses03F_script03_2_M002, I remember it well. Bristling with diamonds. In the worst possible taste.,ang,negative
Ses03F_script03_2_F019," No, it's not. I don't care.",ang,negative
Ses03F_script03_2_M028, You had a riotous-must have had a riotous time. No restraint at all. Very enjoyable. You never had much anyhow.,ang,negative
Ses03F_script03_2_F026, You are quite insufferable. I suppose it's because you're drunk.,ang,negative
Ses03F_script03_2_F036, You've always had far too temperamental for yourself. You should try to control it.,ang,negative
Ses03F_script03_2_M038, Turn it off.,ang,negative
Ses03F_script03_2_F037, I will not. Go away. Go away. I hate you.,ang,negative
Ses03F_script03_2_F038," Listen, indeed. No, no, no, no. I am sick and tired of listening to you, you sadistic bully.",ang,negative
Ses03F_script03_2_F039," Stop it, stop it, I hate you, I loath you, you are overbearing and conceited and utterly impossible.",ang,negative
Ses03F_script03_2_M041," You know, you're a vile, ill-tempered, wicked little beast and I hope that I never see you again as long as I live.",ang,negative
Ses03F_script03_2_F042," Yes I am. Let go of me. I hate you and I loath you. God, I can't believe I just finally realized how you are. I am never marry you. Never. Never, never, never. I would rather die in torment.",ang,negative
Ses03F_script03_2_M043," Oh, shut up. Shut up. Shut up.",ang,negative
Ses03F_script03_2_M044," I wouldn't marry you again if you came back crawling to me on your hands and knees because you're vile. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",ang,negative
Ses05F_script01_1_M013," For God's sake, mom, three years.  Nobody comes back after three years!  It's insane!",ang,negative
Ses05F_script01_1_M021, Then it's not only my business.  Sometimes you infuriate me.  You know that?,ang,negative
Ses01F_impro02_M007, This is a stupid war.,ang,negative
Ses05F_impro08_M004," This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",ang,negative
Ses05F_impro08_M005," Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being.",ang,negative
Ses05F_impro08_M007," Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",ang,negative
Ses02M_script01_1_M013," For God sakes it's been three years, nobody comes back after three years, that's insane.",ang,negative
Ses02M_script01_1_M022, Sometimes you infuriate me you know that. Isn't it your business to if I tell dad and he throws a fit about it? You have such a talent for ignoring things.,ang,negative
Ses02M_script01_1_M024," I don't know why but every time I reach out for something that I really want, I have to pull back 'cause someone else will suffer. My whole bloody life, time after time after time.",ang,negative
Ses02M_script01_1_F033," What the hell is this, are you crazy?",ang,negative
Ses02M_script01_1_M037," I've been a good son too long a good sucker, I'm through with it.",ang,negative
Ses02M_script01_1_M038, The business?  The business doesn't inspire me.,ang,negative
Ses03M_impro05a_M024, What?  Are you kidding me?,ang,negative
Ses01M_impro05_M007, You people have just been tossing me around like a used hanky.,ang,negative
Ses01M_impro05_M023, Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.,ang,negative
Ses01M_impro05_M026, It'll be a lot more than what you're doing sitting here and just give me lip service.  I'd like to go back at least do some aggressive searching for my stuff.,ang,negative
Ses03F_impro02_M007," I can't- No, I can't do this alone.",ang,negative
Ses03F_impro02_M023," What am I supposed--oh, one out of five people aren't coming back.",ang,negative
Ses04F_impro05_F009," You're kidding me, right.  You're going to give me fifty dollars to completely cover my bag, everything that was in it, the inconvenience that I've gone through.  I paid for my ticket.  All I expect is to safely get to my destination with my stuff.  Is that so much to ask?  I mean I really don't think that's that big a deal to ask you guys to have my bag in the place where I leave and then put my bag where I end up.",ang,negative
